epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,14266.7,1.36169,1.27665,1.78604,0.78117,0.70065,0.74305,0.42935,1.49503,1.07118,1.74467,0.000173375,0.000173375,0.000173375
89,14431,1.37377,1.30469,1.81274,0.83009,0.68817,0.76168,0.45862,1.34718,1.06531,1.65261,0.000161,0.000161,0.000161
90,14593.8,1.34303,1.25573,1.75921,0.80376,0.70245,0.76322,0.44289,1.44251,1.06641,1.72698,0.000148625,0.000148625,0.000148625
91,14753.9,1.21962,1.28324,1.71148,0.80248,0.70971,0.76216,0.42249,1.56231,1.05578,1.83527,0.00013625,0.00013625,0.00013625
92,14904.8,1.20172,1.11799,1.67722,0.85276,0.70043,0.7565,0.44646,1.4156,1.05108,1.70992,0.000123875,0.000123875,0.000123875
93,15062.1,1.22155,1.11106,1.69824,0.81801,0.71432,0.75213,0.43127,1.51148,1.05756,1.79175,0.0001115,0.0001115,0.0001115
94,15221,1.18481,1.0624,1.66626,0.85311,0.70517,0.76474,0.46385,1.35596,1.02595,1.65049,9.9125e-05,9.9125e-05,9.9125e-05
95,15378.7,1.16786,1.05168,1.64019,0.82573,0.71479,0.76249,0.4321,1.49853,1.03552,1.7686,8.675e-05,8.675e-05,8.675e-05
96,15535.2,1.146,1.02464,1.62873,0.80589,0.71391,0.76731,0.44905,1.4123,1.03218,1.70318,7.4375e-05,7.4375e-05,7.4375e-05
97,15690.6,1.15522,1.01345,1.6372,0.86354,0.68276,0.75754,0.44526,1.42064,1.01309,1.69735,6.2e-05,6.2e-05,6.2e-05
98,15849.5,1.13535,1.02536,1.62573,0.83697,0.69597,0.76022,0.44066,1.4424,1.01313,1.72248,4.9625e-05,4.9625e-05,4.9625e-05
99,16005.9,1.13216,1.01338,1.6285,0.82148,0.71132,0.76641,0.45101,1.40581,1.01924,1.68854,3.725e-05,3.725e-05,3.725e-05
100,16162,1.13551,1.00825,1.62164,0.82629,0.71612,0.77426,0.45829,1.39,1.01544,1.67461,2.4875e-05,2.4875e-05,2.4875e-05
